R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,YYYYMM
0.4343,-4.761,5.6171,2.9355,-4.9998,0.6306,200001
0.4295,2.4578,22.1445,-5.3931,-7.5531,-3.1129,200002
0.4377,5.2266,-14.402,1.835,7.6849,3.508,200003
0.4595,-6.378,-4.8609,3.7873,8.7094,5.105,200004
0.4782,-4.3692,-4.595,0.5085,0.0196,3.7028,200005
0.3744,4.6557,10.2649,-3.3905,-4.7546,-1.8045,200006
0.4772,-2.42,0.995,2.2468,3.4292,3.2749,200007
0.5002,7.0279,0.4492,-0.7996,-2.082,-1.098,200008
0.5093,-5.4345,1.6354,5.2247,2.1026,0.7955,200009
0.5217,-2.7431,-2.223,2.9226,7.3215,6.4705,200010
0.4966,-10.6882,1.5397,7.4487,10.3593,10.9018,200011
0.4909,1.195,4.6807,6.3542,5.186,0.5126,200012
0.5243,3.2558,2.7241,-7.1285,-10.7883,-6.1594,200101
0.3653,-10.0211,2.8908,9.2225,5.1517,6.3589,200102
0.432,-7.2656,2.9527,3.7571,3.4588,2.6585,200103
0.3864,7.9365,-0.9199,-3.754,0.0915,-5.4515,200104
0.3183,0.6848,4.3574,2.3801,-2.5149,-0.2513,200105
0.2778,-1.9317,6.7188,-1.7997,-0.7915,1.9723,200106
0.2999,-2.1314,-2.1193,1.3768,3.9507,5.5121,200107
0.2996,-6.3871,2.3699,5.641,4.3155,5.6455,200108
0.273,-9.2292,-4.9253,2.8644,9.192,5.7667,200109
0.2154,2.4886,3.4911,-2.9706,-4.3929,-0.5555,200110
0.1749,7.5282,-1.3907,-1.1391,-8.4893,-2.9927,200111
0.1484,1.6086,5.3189,-0.1761,0.5421,-2.257,200112
0.139,-1.4322,0.7237,3.2498,0.3033,4.2877,200201
0.1285,-2.2918,-0.4922,4.4456,5.3235,3.7643,200202
0.1341,4.238,4.6097,0.7761,-4.7001,-0.5528,200203
0.1546,-5.2053,7.5846,4.0731,5.4639,4.0819,200204
0.1442,-1.3564,-3.1795,2.1865,1.8111,0.6156,200205
0.1312,-7.2084,3.5661,3.5485,4.9409,0.5052,200206
0.1507,-8.19,-6.3911,1.9786,6.7016,4.9683,200207
0.1402,0.4931,0.0007,-0.8574,2.5491,-1.7192,200208
0.1414,-10.3255,3.12,-2.1364,4.4049,1.1299,200209
0.1334,7.8302,-5.1206,0.2843,-4.5614,1.5123,200210
0.1166,5.9526,1.496,3.2719,-11.1725,-3.1022,200211
0.1079,-5.7527,0.0671,-2.2589,5.3188,2.2776,200212
0.0934,-2.5616,-0.9824,0.6982,-0.589,0.7808,200301
0.0871,-1.8827,-2.0245,-0.1272,0.8778,1.3997,200302
0.102,1.0908,1.4039,-0.1257,3.4092,-0.9347,200303
0.0939,8.1807,2.3547,1.0369,-4.4513,-2.9391,200304
0.0903,6.0466,3.8174,1.848,-8.2331,-1.6245,200305
0.0984,1.4214,2.221,-1.0629,1.0948,-0.1291,200306
0.0674,2.3358,4.3762,2.3405,-1.7422,-0.8789,200307
0.0689,2.3281,2.2397,2.3621,-1.2384,-1.6327,200308
0.0865,-1.2401,0.6889,0.2279,1.2631,2.3261,200309
0.07,6.0782,3.0474,1.031,-1.7507,-0.5642,200310
0.0725,1.3471,2.1957,2.3052,0.7767,0.5379,200311
0.0831,4.2829,-2.7811,0.774,-1.7394,-1.3486,200312
0.0696,2.1524,3.1121,2.0585,-2.4364,0.837,200401
0.0623,1.3997,-0.3075,-0.8855,2.1354,-0.0152,200402
0.0844,-1.3162,2.5218,-0.7352,1.7567,-1.0578,200403
0.0795,-1.8093,-3.2185,-2.9001,0.0193,1.427,200404
0.0603,1.1743,-0.3819,0.551,1.068,-0.2178,200405
0.0817,1.8607,2.2399,-0.2618,0.5621,0.6322,200406
0.0919,-4.0402,-3.3502,-0.9772,2.4066,3.0646,200407
0.1116,0.0745,-1.5163,-1.1997,-1.2272,0.176,200408
0.1185,1.5944,3.7951,-2.2121,-0.2123,-1.6176,200409
0.1129,1.425,-0.7841,0.584,-1.4399,0.0033,200410
0.1541,4.5313,4.4728,-0.4263,-1.1342,-1.6565,200411
0.1672,3.4169,-0.0411,0.3018,-0.8598,-1.1293,200412
0.1661,-2.7538,-0.3941,-0.4036,3.2457,1.2576,200501
0.1641,1.8819,0.1469,0.2917,3.5726,0.6662,200502
0.2123,-1.9348,-1.7448,0.9394,0.535,1.8949,200503
0.2072,-2.6089,-4.4794,-1.4563,-1.1019,2.1604,200504
0.2395,3.6511,2.9656,-0.0579,0.9641,0.4258,200505
0.2263,0.5711,3.8096,-0.1983,-0.4264,-0.4162,200506
0.2383,3.9142,2.7306,-2.0741,-0.2056,-0.4032,200507
0.292,-1.1886,-0.7896,0.2365,-0.6858,-0.6057,200508
0.2848,0.4859,0.0058,-0.0283,0.858,0.2596,200509
0.2728,-2.044,-0.5145,-0.3185,1.1029,-0.5479,200510
0.3045,3.6182,1.2181,-1.0467,0.7767,-0.6024,200511
0.316,-0.2427,-0.0272,0.8832,0.2219,1.0851,200512
0.3488,3.0346,6.4411,-0.6827,-0.2638,0.8754,200601
0.3322,-0.2924,-0.3886,2.4367,-1.0088,-1.0037,200602
0.3642,1.4637,3.1184,-1.346,0.7682,-0.7847,200603
0.3559,0.7325,-0.304,0.3425,0.8234,-0.1292,200604
0.4195,-3.5448,-3.5175,1.325,-0.0888,-1.598,200605
0.397,-0.3492,-0.3336,-0.3929,1.043,0.6258,200606
0.3976,-0.776,-3.1601,1.3515,0.545,3.2009,200607
0.4283,2.0201,0.4272,1.9357,-1.3436,-0.1446,200608
0.4047,1.8459,-0.9658,0.9846,0.6327,0.9511,200609
0.4076,3.2203,1.9769,0.2011,-0.2861,0.445,200610
0.4243,1.7004,0.3938,-1.5991,0.485,-0.8997,200611
0.4036,0.8643,-0.0015,1.8288,-0.5587,-1.2249,200612
0.4328,1.3927,-0.095,0.6304,0.0206,0.0683,200701
0.3837,-1.956,1.4278,-0.9739,-0.7456,-0.0687,200702
0.4257,0.6903,-0.1825,-1.1944,0.4356,-0.2037,200703
0.4348,3.4826,-1.7342,0.848,0.5436,1.1127,200704
0.4046,3.2406,-0.2543,-2.3087,0.5236,0.1331,200705
0.3918,-1.949,0.5452,0.9511,1.2065,-0.5925,200706
0.3962,-3.7107,-3.0159,-2.2891,1.6369,0.0496,200707
0.4205,0.9173,-0.8207,-1.3054,0.9418,0.4942,200708
0.3347,3.2019,-2.4039,-3.2183,1.6356,-0.4745,200709
0.3212,1.802,0.377,0.4577,1.2265,0.3453,200710
0.3395,-4.8017,-3.0218,0.1851,3.588,1.4361,200711
0.2921,-0.8795,0.6489,-0.6012,2.3193,1.0642,200712
0.243,-6.3712,-0.7217,1.3807,-0.2969,-0.8164,200801
0.1325,-3.0844,-0.8748,-1.5137,1.7981,1.36,200802
0.1869,-0.9533,0.5805,-0.353,2.3754,-0.0305,200803
0.1025,4.6755,-0.9362,-2.312,-0.8075,3.3207,200804
0.0946,1.942,2.5324,-0.3546,-0.3367,0.0761,200805
0.175,-8.4279,1.8834,-0.1934,6.3621,1.0367,200806
0.144,-0.7579,5.9805,1.8218,0.013,-0.0734,200807
0.1282,1.5212,1.8217,0.9425,-0.8718,2.079,200808
0.153,-9.292,0.6312,3.16,1.5902,3.4513,200809
