PERMNO,date,Mkt-RF,SMB,HML,RMW,CMA,R_ME,R_IA,R_ROE,R_EG,AggLiq,eq8,LIQ_V,Mkt-RF_l0,Mkt-RF_l1,Mkt-RF_l2,Mkt-RF_l3,Mkt-RF_l4,Mkt-RF_l5,Mkt-RF_l6,SMB_l0,SMB_l1,SMB_l2,SMB_l3,SMB_l4,SMB_l5,SMB_l6,HML_l0,HML_l1,HML_l2,HML_l3,HML_l4,HML_l5,HML_l6,RMW_l0,RMW_l1,RMW_l2,RMW_l3,RMW_l4,RMW_l5,RMW_l6,CMA_l0,CMA_l1,CMA_l2,CMA_l3,CMA_l4,CMA_l5,CMA_l6,R_ME_l0,R_ME_l1,R_ME_l2,R_ME_l3,R_ME_l4,R_ME_l5,R_ME_l6,R_IA_l0,R_IA_l1,R_IA_l2,R_IA_l3,R_IA_l4,R_IA_l5,R_IA_l6,R_ROE_l0,R_ROE_l1,R_ROE_l2,R_ROE_l3,R_ROE_l4,R_ROE_l5,R_ROE_l6,R_EG_l0,R_EG_l1,R_EG_l2,R_EG_l3,R_EG_l4,R_EG_l5,R_EG_l6,AggLiq_l0,AggLiq_l1,AggLiq_l2,AggLiq_l3,AggLiq_l4,AggLiq_l5,AggLiq_l6,eq8_l0,eq8_l1,eq8_l2,eq8_l3,eq8_l4,eq8_l5,eq8_l6,LIQ_V_l0,LIQ_V_l1,LIQ_V_l2,LIQ_V_l3,LIQ_V_l4,LIQ_V_l5,LIQ_V_l6
10324,1/1/2005,0.009247077,0,-0.002940424,-0.006953084,0,0,0,0,0.013273364,0,0,0,0.00046948,0,-0.010959176,-0.006079261,0.002802805,-0.006262496,0,0,0,0,-0.010278498,0,0,-0.002409342,-3.36E-05,0.009990629,0,0.00384438,0.007989263,-0.002211147,0,-0.007622211,0,-0.004718656,-0.006123143,0,0,-0.005882658,0,-0.007407109,0.006520565,0,0,0.004874739,0,0,-0.005540176,-0.005266981,0,0.000244548,0,-0.003010619,0,0,0,-0.004971361,0,-0.006361796,0.000271964,0.001005548,0,0,0.005939774,0,0,0,0.01280216,0,-0.013424078,0,-0.007544435,0,0.006684812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10777,1/1/2005,0.002201342,0.005402317,7.42E-05,0,0,0,0,0,0,0,0,0,0,0.000566236,0.003393167,-0.001139427,0,-0.000640638,0.005081119,0,-0.001208821,0.001871003,0,0,0,-0.000469083,0.001342379,0.001129604,0,0.0038049,0,0,0,0,0,0,0,0.001393551,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002661356,-0.000182318,0,0,0,0,0,0,-0.002442998,0,0,0.002552963,-0.00022959,0,0,-0.002972285,0.002875821,0,0,-1.58E-05,0.000166874,0,0.004457365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10933,1/1/2005,8.41E-05,0,0,0,0,0.000717104,0.004767666,0.00063846,0,0,0,0,0.000293814,0,0.001036252,0,0,-0.0005198,0,0,0,0,0,0,-0.000417898,0.000413019,0,0,0.004357928,0.000429263,0,0,-0.004868367,0,0.000626754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006285959,0,-0.00043748,0,0,9.72E-05,0,0,0,0,0,0,7.37E-05,0,0,0,0,0,0.000891944,0,0,-0.000751371,-0.001797454,0.000551629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11415,1/1/2005,0.002590775,-0.001241735,0.001352157,0,0,0,0,0.000136592,-0.006501394,0,0,0,1.65E-05,0.002304728,-0.003691841,0,-0.010851119,0,-0.007028669,-0.005134707,0,0.001496781,0,-0.002006445,0,0,0.002487192,-0.001995678,0.002719867,0,0,0.007917418,-0.001461389,0,-0.005249158,0,-0.000875233,-0.002391523,0,0,0,0,0.003651201,0.008132965,0,0,-0.003866988,0,0.001367784,0,0,-0.001371911,0,0.011188018,0,0,0.000963867,0,-0.009640826,-0.008450282,-0.001127223,0.000849881,0,-0.007514095,0.004035386,-0.004535743,-0.002935797,0,-0.002105656,0.011177981,-0.001336182,-0.012904352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11587,1/1/2005,0.004815757,0.00417589,-0.002541401,0,0,0,0,0,0,0,0,0,0.000137051,-0.002833076,-0.0065509,-0.012855565,0.004092906,-0.00486331,0.005451304,0,0,0.00664192,-0.000977718,0,0,0,-7.12E-07,0.009469525,0.002774453,0,0.0016155,0.002648585,-0.000774427,0,-0.00749324,0,-0.007709399,0.000550945,0,0,0,0,0.00616672,0,0,0,0,0,0,0,0,0.003705127,0.005016629,-0.002482045,0,0,0.000954713,-0.009247853,0.002680327,-0.005333841,0,0,0,-0.008411392,0,0,0.000136076,0.003228342,0,0.00597695,0,0,0,-0.005580251,-0.00769955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11762,1/1/2005,0.008711488,0.001413528,0.000742582,0.001981112,0.002742953,0,0,0,0,0,0,0,0.00209833,0,-0.001826819,0,0,-0.001031397,0.001790756,0.000121216,0,0,-0.001328714,0,0,0,0,0,0,0.00446754,0,-0.001620294,0,0.001588211,0,0,-0.001817383,0,-0.001400616,0,0.000301926,0,0,0,-0.004200603,0,0,0,0,-0.001937314,0,0.00342915,0,-0.000515178,0,0,0,0,0,0.004885197,0,0,-0.000367579,0,0,0.000851524,0,-0.000638397,0,0,0,0,0,0.002517183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11850,1/1/2005,0.003698236,0,0.001190591,0,0,0,0,0,0,0,0,0,0.000427551,2.80E-05,0.000131002,0,0.000901219,0,0.000460732,0,0,0,0,0,0,-0.00063302,0.000317563,0,0.000651557,0,0.000149586,-0.001504169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001768607,0,0,0,0,0,0,-0.002035784,-0.003156418,0.00031586,0,0,0,0,0,0,0,0.00207475,0.001476054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11995,1/1/2005,0,0.003003148,-0.001447594,0,0,0,0,-0.002573173,0,0,0,0,0,9.72E-05,0.002038403,0,0,0,0.004547342,0.000508169,0.002273069,0,0,-0.001337969,0,0.001926641,-2.35E-07,0,0.000834934,-0.004057622,0,0,-0.003887389,0,0.000282435,0.000581223,-0.00130778,0,0,0.003363233,0,0.001131875,0,0,-0.004792889,0,0,0,0,-0.000604738,0.000712739,0,0,0,0,0,0,0,0,0.001558158,0.007652667,0,0,-0.001160957,0.007504439,0.000278233,0.0019844,0,0,0.005848872,0,-0.000537574,0,0,0.006489808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12052,1/1/2005,0.006687246,0,0.004476838,0.000273367,3.49E-05,0,0,0.002758922,0,0,0,0,0.003754475,0.001027917,0.001189209,-0.001367552,0,0,0,0,0,0,0,0,0.003178978,4.50E-05,0.000307235,0.000967696,0,0,0,0,0.001642288,2.16E-05,-0.00024396,0,0.004389022,0,-0.000287328,-0.001271435,0.000867683,0.000734191,0,-0.006265503,0,0,0.00122875,0,0.00103534,0.000267589,0.003512509,0,0,0,0,0,0,0,0,0,-0.001419498,0.002599973,0,0.001013607,-0.007224549,0.004369014,0,0,0,0,0.001339993,0,-0.001199312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12062,1/1/2005,0.000879684,0,0.006884596,0,0,0.006499035,0,0,0,0,0,0,0.001737081,-0.000457651,0.005621186,-0.006581506,-0.004897015,-0.003582903,0,0,-0.004716584,0,0,0,0.005265962,-0.005613423,0.00022933,0,0,0.004436649,0,0.004513371,0,0,0.009080092,0,0,-0.006254702,0,-0.009795462,0,0,0,0,0,0,-0.006347704,0.000360383,0,-0.001610663,0.003940361,0,0,0,0,-0.007255511,0.010198666,-0.012476974,0.001268591,-0.00410891,0,0,-0.004754812,0,-0.00746963,-0.004125892,0,0.002125453,0,0,0,0,0,-0.000199529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
